MobileID,Brand,MobileURL,MobileName,Price,ImageURL
B07PQ7FSHW,Vivo,https://www.amazon.in/Vivo-Nebula-Storage-Additional-Exchange/dp/B07PQ7FSHW/ref=sr_1_59?dchild=1&keywords=vivo+smartphones&qid=1605586296&refinements=p_89%3AVivo&rnid=3837712031&s=electronics&sr=1-59,Vivo Y91 ,8999,https://m.media-amazon.com/images/I/61xLVj3Fh-L._AC_UY218_.jpg
B07DR1FPV3,Vivo,https://www.amazon.in/Vivo-Y71-Gold-Without-Offers/dp/B07DR1FPV3/ref=sr_1_60?dchild=1&keywords=vivo+smartphones&qid=1605586296&refinements=p_89%3AVivo&rnid=3837712031&s=electronics&sr=1-60,Vivo Y71 ,14990,https://m.media-amazon.com/images/I/61EL3rFNssL._AC_UY218_.jpg
B07HMV6WZ8,Vivo,https://www.amazon.in/Vivo-Y83-Pro-Nebula-Purple/dp/B07HMV6WZ8/ref=sr_1_62?dchild=1&keywords=vivo+smartphones&qid=1605586296&refinements=p_89%3AVivo&rnid=3837712031&s=electronics&sr=1-62,Vivo Y83 Pro ,37990,https://m.media-amazon.com/images/I/51AFXtzmLfL._AC_UY218_.jpg
B07PTLCBLH,Vivo,https://www.amazon.in/Vivo-Storage-Additional-Exchange-Offers/dp/B07PTLCBLH/ref=sr_1_66?dchild=1&keywords=vivo+smartphones&qid=1605586296&refinements=p_89%3AVivo&rnid=3837712031&s=electronics&sr=1-66,Vivo Y90 ,8190,https://m.media-amazon.com/images/I/61Tz5ru+GNL._AC_UY218_.jpg
B07GZ2TD2J,Vivo,https://www.amazon.in/Vivo-V11-Pro-Starry-Storage/dp/B07GZ2TD2J/ref=sr_1_77?dchild=1&keywords=vivo+smartphones&qid=1605586296&refinements=p_89%3AVivo&rnid=3837712031&s=electronics&sr=1-77,Vivo V11 Pro ,13539,https://m.media-amazon.com/images/I/51HZ1FRUZ6L._AC_UY218_.jpg
B07KXCGR8Q,Vivo,https://www.amazon.in/Vivo-Frozen-Storage-Additional-Exchange/dp/B07KXCGR8Q/ref=sr_1_78?dchild=1&keywords=vivo+smartphones&qid=1605586296&refinements=p_89%3AVivo&rnid=3837712031&s=electronics&sr=1-78,Vivo V15 ,14539,https://m.media-amazon.com/images/I/61MDwaWYWqL._AC_UY218_.jpg
B01B5U71UK,Vivo,https://www.amazon.in/Vivo-Y51L-White/dp/B01B5U71UK/ref=sr_1_97?dchild=1&keywords=vivo+smartphones&qid=1605586296&refinements=p_89%3AVivo&rnid=3837712031&s=electronics&sr=1-97,Vivo Y51L ,12889,https://m.media-amazon.com/images/I/61kHOIarPUL._AC_UY218_.jpg
B07KWX97HT,Vivo,https://www.amazon.in/Vivo-Mystic-Purple-128GB-Storage/dp/B07KWX97HT/ref=sr_1_100?dchild=1&keywords=vivo+smartphones&qid=1605586296&refinements=p_89%3AVivo&rnid=3837712031&s=electronics&sr=1-100,Vivo Y17 ,14539,https://m.media-amazon.com/images/I/71nzvWeQ3XL._AC_UY218_.jpg
B07KX1S5ZD,Vivo,https://www.amazon.in/Vivo-1816-Storage-Additional-Exchange/dp/B07KX1S5ZD/ref=sr_1_101?dchild=1&keywords=vivo+smartphones&qid=1605586296&refinements=p_89%3AVivo&rnid=3837712031&s=electronics&sr=1-101,Vivo Y91 1816 ,14389,https://m.media-amazon.com/images/I/61csoi3ewEL._AC_UY218_.jpg
B07X9YM9HD,Vivo,https://www.amazon.in/Vivo-Midnight-Storage-Additional-Exchange/dp/B07X9YM9HD/ref=sr_1_124?dchild=1&keywords=vivo+smartphones&qid=1605586296&refinements=p_89%3AVivo&rnid=3837712031&s=electronics&sr=1-124,Vivo V17 Pro ,14539,https://m.media-amazon.com/images/I/71iRjnARnSL._AC_UY218_.jpg
